"Group.1" "Group.2" "Group.3" "subject" "activity" "variable" "value"
"test" "LAYING" "tBodyAccMeanX" NA NA NA 0.267227589560521
"train" "LAYING" "tBodyAccMeanX" NA NA NA 0.26919100708877
"test" "SITTING" "tBodyAccMeanX" NA NA NA 0.272039760352342
"train" "SITTING" "tBodyAccMeanX" NA NA NA 0.273448998825428
"test" "STANDING" "tBodyAccMeanX" NA NA NA 0.278791235789474
"train" "STANDING" "tBodyAccMeanX" NA NA NA 0.279293757074236
"test" "WALKING" "tBodyAccMeanX" NA NA NA 0.276526397258064
"train" "WALKING" "tBodyAccMeanX" NA NA NA 0.276260200872757
"test" "WALKING_DOWNSTAIRS" "tBodyAccMeanX" NA NA NA 0.288062900461905
"train" "WALKING_DOWNSTAIRS" "tBodyAccMeanX" NA NA NA 0.288168888475659
"test" "WALKING_UPSTAIRS" "tBodyAccMeanX" NA NA NA 0.263126445989384
"train" "WALKING_UPSTAIRS" "tBodyAccMeanX" NA NA NA 0.261929527252004
"test" "LAYING" "tBodyAccMeanY" NA NA NA -0.0182456228329236
"train" "LAYING" "tBodyAccMeanY" NA NA NA -0.0183452479771855
"test" "SITTING" "tBodyAccMeanY" NA NA NA -0.0141221515132994
"train" "SITTING" "tBodyAccMeanY" NA NA NA -0.0121426088459798
"test" "STANDING" "tBodyAccMeanY" NA NA NA -0.0162262731035301
"train" "STANDING" "tBodyAccMeanY" NA NA NA -0.0161230846636681
"test" "WALKING" "tBodyAccMeanY" NA NA NA -0.018250712002498
"train" "WALKING" "tBodyAccMeanY" NA NA NA -0.0177677108511182
"test" "WALKING_DOWNSTAIRS" "tBodyAccMeanY" NA NA NA -0.0161751510247702
"train" "WALKING_DOWNSTAIRS" "tBodyAccMeanY" NA NA NA -0.0163701864217556
"test" "WALKING_UPSTAIRS" "tBodyAccMeanY" NA NA NA -0.0242744604190291
"train" "WALKING_UPSTAIRS" "tBodyAccMeanY" NA NA NA -0.0266470525735974
"test" "LAYING" "tBodyAccMeanZ" NA NA NA -0.108134996675233
"train" "LAYING" "tBodyAccMeanZ" NA NA NA -0.107168709636461
"test" "SITTING" "tBodyAccMeanZ" NA NA NA -0.102730909698778
"train" "SITTING" "tBodyAccMeanZ" NA NA NA -0.106580744993313
"test" "STANDING" "tBodyAccMeanZ" NA NA NA -0.10466868287406
"train" "STANDING" "tBodyAccMeanZ" NA NA NA -0.10732962785709
"test" "WALKING" "tBodyAccMeanZ" NA NA NA -0.108875750766129
"train" "WALKING" "tBodyAccMeanZ" NA NA NA -0.108884089505465
"test" "WALKING_DOWNSTAIRS" "tBodyAccMeanZ" NA NA NA -0.105529914174286
"train" "WALKING_DOWNSTAIRS" "tBodyAccMeanZ" NA NA NA -0.105860325152107
"test" "WALKING_UPSTAIRS" "tBodyAccMeanZ" NA NA NA -0.120798485155414
"train" "WALKING_UPSTAIRS" "tBodyAccMeanZ" NA NA NA -0.120423564420037
"test" "LAYING" "tBodyAccStdX" NA NA NA -0.964750344692737
"train" "LAYING" "tBodyAccStdX" NA NA NA -0.959475238302061
"test" "SITTING" "tBodyAccStdX" NA NA NA -0.983437472749491
"train" "SITTING" "tBodyAccStdX" NA NA NA -0.983449562153966
"test" "STANDING" "tBodyAccStdX" NA NA NA -0.982080518496241
"train" "STANDING" "tBodyAccStdX" NA NA NA -0.985346233195051
"test" "WALKING" "tBodyAccStdX" NA NA NA -0.319595856634677
"train" "WALKING" "tBodyAccStdX" NA NA NA -0.312641276860938
"test" "WALKING_DOWNSTAIRS" "tBodyAccStdX" NA NA NA 0.00902022030214286
